user_id,date,complete_response,age_bucket,age,age_gen,education,ethnicity,gender,children,hh_size,income,job_ref,marital_status,postal_code,census_division,census_region,state,urbanicity,demo_weight,any_shock,n_shock,lshock_type,lshock_size,lshock_size_imputed,lshock_paid_3m,lshock_amt_paid_3m,lshock_paid_csacct,lshock_paid_retacct,lshock_paid_ccard_sm,lshock_paid_ccard_mm,lshock_paid_ffloan,lshock_paid_pdloan,lshock_paid_bloan,lshock_paid_heloc,lshock_paid_redspend,lshock_paid_mispay,lshock_paid_incinc,lshock_paid_solbel,lshock_paid_dk,lshock_paid_other,lshock_hh_inc,lshock_hh_inc_imputed,lshock_month,lshock_month_imputed,lshock_pred,lshock_prev,hh_liquidity,hh_emergency_fund,hh_credit,hh_credit_score,other_shocks,other_shock_totsize,pastdue_lcc_6m,pastdue_rm_6m,collections_6m,utility_cutoff_6m,repo_notice_6m,eviction_notice_6m,no_adverse_outcome_6m,hh_inc_oct25,hh_inc_oct25_imputed,hh_liquidity_oct25,hh_emergency_fund_oct25,hh_credit_score_oct25,pastdue_lcc_oct25,pastdue_rm_oct25,collections_oct25,utility_cutoff_oct25,repo_notice_oct25,eviction_notice_oct25,no_adverse_outcome_oct25,shock_forecast
4967896,2026-03-16,1,65+,80,Boomers+ [< 1965],Trade/Technical Degree,White/Caucasian,Female,0,2,$125k +,85333,Married,8831,Mid-Atlantic,Northeast,New Jersey,Suburban,2.976190926,1,1 time,Home/Appliance repair,8000,0,Paid in full within 3 months,100%,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,2025-08-01,0,Equally likely and unlikely(50% chance),0,NA,NA,NA,780-850,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2978889,2026-03-16,1,65+,66,Boomers+ [< 1965],Graduate Degree,Black or African American,Female,0,3,$125k +,85333,Married,11003,Mid-Atlantic,Northeast,New York,Urban,4.790474862,1,2 times,Utility bill increase,200,0,Paid in full within 3 months,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,2025-07-01,0,Impossible (0% chance),0,NA,More than 12 months,Sufficient credit,NA,1,500,0,0,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8116323,2026-03-16,1,45-54,46,Gen X [1965-1981],2 year College Degree,White/Caucasian,Female,0,3,$60k-80k,85333,Married,50629,West North Central,Midwest,Iowa,Rural,0.3718722403,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2914023,2026-03-16,1,65+,72,Boomers+ [< 1965],High School/GED,White/Caucasian,Female,0,2,$40k-60k,85333,Married,98332,Pacific,West,Washington,Rural,1.466241932,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2045599,2026-03-16,1,25-34,30,Gen Z [> 1995],2 year College Degree,Asian,Other,1,3,$80k-100k,85333,Widower,43224,East North Central,Midwest,Ohio,Urban,0.439804937,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
8277864,2026-03-16,1,65+,71,Boomers+ [< 1965],Graduate Degree,White/Caucasian,Female,0,2,$125k +,85333,Married,38237,East South Central,South,Tennessee,Rural,3.442474884,1,1 time,Funeral/Burial expenses,25000,0,Paid in full within 3 months,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,2025-09-01,0,NA,0,"More than $50,000",2 months,Sufficient credit,780-850,0,NA,0,0,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
10375828,2026-03-16,1,35-44,43,Millennials [1982-1995],High School/GED,White/Caucasian,Male,1,5,$40k-60k,85333,Married,97003,Pacific,West,Oregon,Urban,0.5262018497,1,1 time,Medical/Dental expenses,800,0,Paid in full within 3 months,100%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1850,0,2026-02-01,0,Unlikely (25% chance),0,"$500 - $1,000",3 months,No credit,300-540,0,NA,0,0,0,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
6681420,2026-03-16,1,35-44,38,Millennials [1982-1995],Graduate Degree,White/Caucasian,Female,1,4,$125k +,85333,Married,63367,West North Central,Midwest,Missouri,Suburban,1.202689939,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
7070006,2026-03-16,1,65+,70,Boomers+ [< 1965],Some College or university,White/Caucasian,Female,1,2,$40k-60k,85333,Divorced,32011,South Atlantic,South,Florida,Suburban,0.4872447166,1,2 times,Home/Appliance repair,600,1,Partially paid within 3 months,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3900,0,2025-02-01,0,Unlikely (25% chance),0,"More than $50,000",4 months,Sufficient credit,720-780,0,NA,0,0,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
4526546,2026-03-16,1,55-64,59,Gen X [1965-1981],4 year College Degree,White/Caucasian,Female,0,3,$40k-60k,85333,Never married,49855,East North Central,Midwest,Michigan,Rural,0.3812644419,1,3 times,Veterinary/Pet care expenses,4400,0,Partially paid within 3 months,About 50%,1,1,0,0,0,0,0,0,1,0,0,1,0,0,3700,0,2025-07-01,0,Impossible (0% chance),0,"$1,000 - $2,500",2 months,Insufficient credit,660-720,1,450,0,0,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
